a,Qubit Domain,Reduced Dimension
[ 0.          0.         -0.95238095  0.        ],[0],False
[ 0.          0.         -0.91793886  0.        ],[0],False
[ 0.          0.         -0.85580411  0.        ],[0],False
[ 0.          0.         -0.77509064  0.        ],[0],False
[ 0.          0.         -0.68544051  0.        ],[0],False
[ 0.          0.         -0.59490633  0.        ],[0],False
[ 0.          0.         -0.50906234  0.        ],[0],False
[ 0.          0.         -0.43109115  0.        ],[0],False
[ 0.          0.         -0.36233759  0.        ],[0],False
[ 0.          0.         -0.30293804  0.        ],[0],False
